item,ordqty_norm,shipqty_norm,unit_fill_rate_pct
MMM2053-Y      ,10.0,0.0,0.0
MMM2120-A      ,203.0,0.0,0.0
MMM655-BE      ,146.0,0.0,0.0
MMM655-GN      ,11003.0,0.0,0.0
MMM655-PK      ,10.0,0.0,0.0
BLT44162,1.0,0.0,0.0
AAG70-075-05   ,5.0,0.0,0.0
AAG70-100P-05  ,5.0,0.0,0.0
AAG70-102-05   ,2.0,0.0,0.0
MMM194         ,3.0,0.0,0.0
MMM2000        ,1.0,0.0,0.0
BLT81052,6.0,0.0,0.0
MMM17304       ,5.0,0.0,0.0
MMM660-RP-A    ,4.0,0.0,0.0
MMM678-CH      ,12.0,0.0,0.0
BLDDR402K      ,18.0,0.0,0.0
SPR69350       ,10.0,0.0,0.0
BHC969153      ,1.0,0.0,0.0
BICGSMG11-BE   ,65.0,0.0,0.0
SPR70109       ,1.0,0.0,0.0
AAG47406       ,7.0,0.0,0.0
AAG47728       ,1.0,0.0,0.0
AAG47730       ,1.0,0.0,0.0
AAG47732       ,1.0,0.0,0.0
AAG47736       ,7.0,0.0,0.0
ZPC50020       ,6.0,0.0,0.0
ZPC52510       ,110.0,0.0,0.0
AAG47340       ,8.0,0.0,0.0
AAG47346       ,3.0,0.0,0.0
AAG47348       ,10.0,0.0,0.0
AAG47356       ,2.0,0.0,0.0
AAG47358       ,1.0,0.0,0.0
MMM671-4AU     ,10.0,0.0,0.0
ZPC49010       ,134.0,0.0,0.0
ZPC50010       ,3.0,0.0,0.0
BLDEC475       ,3.0,0.0,0.0
BLDT4200       ,1.0,0.0,0.0
BLDTRO1000     ,1.0,0.0,0.0
AAG70-124-38   ,83.0,0.0,0.0
MMM110         ,27.0,0.0,0.0
MMM675-6SSAN   ,8.0,0.0,0.0
MMM675-YL      ,1.0,0.0,0.0
MMF268-4670-04,1.0,0.0,0.0
MMF2712S18BK   ,1.0,0.0,0.0
MMM680-13      ,3.0,0.0,0.0
MMM680-21      ,1.0,0.0,0.0
MMF2649012BK   ,8.0,0.0,0.0
MMF264S8BLA    ,3.0,0.0,0.0
MMM680-23      ,2.0,0.0,0.0
MMM680-RYBG    ,96.0,0.0,0.0
AAG70-214-05   ,93.0,0.0,0.0
AAG70-236-05   ,10.0,0.0,0.0
BLDV7210       ,1.0,0.0,0.0
AAG70-545-05   ,1.0,0.0,0.0
AAG70-650-05   ,10.0,0.0,0.0
MMM680-VAD4    ,1.0,0.0,0.0
MMM682-4       ,1.0,0.0,0.0
MMM686-RYB     ,1.0,0.0,0.0
MMM688-AST1    ,9.0,0.0,0.0
BFDKW6         ,1.0,0.0,0.0
MMM684-AST2    ,255.0,0.0,0.0
MMM684ARR1     ,3.0,0.0,0.0
MMM686-2RY     ,3.0,0.0,0.0
MMF240-0301-00 ,3.0,0.0,0.0
MMM688-AST2    ,4.0,0.0,0.0
AAG70-655-05   ,2.0,0.0,0.0
AAG70-822-05   ,6.0,0.0,0.0
AAG70-824-05   ,17.0,0.0,0.0
AAG70-864-05   ,165.0,0.0,0.0
ZPC44120       ,6.0,0.0,0.0
MMF221-6182-01 ,5.0,0.0,0.0
MMM814         ,13.0,0.0,0.0
MMM815,2.0,0.0,0.0
MMM859,20.0,0.0,0.0
MMF2061TBK     ,21.0,0.0,0.0
MMF210-4702-89 ,2.0,0.0,0.0
MMF211-0105-08 ,11.0,0.0,0.0
MMF201-8060-03 ,5.0,0.0,0.0
MMF201-8090-03 ,1.0,0.0,0.0
MMM901         ,5.0,0.0,0.0
MLNTB60PG      ,2.0,0.0,0.0
MMF200-0351-10 ,17.0,0.0,0.0
MMF201-3020-03 ,28.0,0.0,0.0
AAG70-923-75   ,30.0,0.0,0.0
ZPC25420       ,6.0,0.0,0.0
ZPC27110       ,246.0,0.0,0.0
ZPC27120       ,166.0,0.0,0.0
MMMC25         ,18.0,0.0,0.0
MLNDR2PG,4.0,0.0,0.0
MLNSLF60PG,6.0,0.0,0.0
MLNSR2446RPG,1.0,0.0,0.0
MLNSR6033PG,3.0,0.0,0.0
MLNSR6033RPG,17.0,0.0,0.0
MLNSR6046RPG,12.0,0.0,0.0
MLNSRF3837PG,43.0,0.0,0.0
MLNSRF3837PG   ,1.0,0.0,0.0
MLNSRF3871PG,19.0,0.0,0.0
MLNSRF3871PG   ,4.0,0.0,0.0
MLNTB30PG,1.0,0.0,0.0
MLNTB60PG,14.0,0.0,0.0
ZPC28120       ,1.0,0.0,0.0
ZPC41010       ,12.0,0.0,0.0
ZPC41020       ,12.0,0.0,0.0
AAG70-923-76   ,3.0,0.0,0.0
AAG70-940-06   ,3.0,0.0,0.0
AAG70-940-38   ,1.0,0.0,0.0
AAG70-950-20   ,1.0,0.0,0.0
MLK647D        ,2.0,0.0,0.0
MLN21100,4.0,0.0,0.0
MLN21100       ,4.0,0.0,0.0
MLN21124EZ,2.0,0.0,0.0
MLN21145EZ,6.0,0.0,0.0
MLN21148EZ,3.0,0.0,0.0
MLN4904K,1.0,0.0,0.0
BFDLRF44       ,1.0,0.0,0.0
MLN90225,1.0,0.0,0.0
MMMBF20XL      ,5.0,0.0,0.0
MMMC-91,19.0,0.0,0.0
AAG70-EP01-05  ,16.0,0.0,0.0
AAG70-EP04-05  ,28.0,0.0,0.0
AAG70-MT03-03  ,4.0,0.0,0.0
ZPC22010       ,224.0,0.0,0.0
BFDOH29,1.0,0.0,0.0
MLK1525,4.0,0.0,0.0
MLK2075DBLK,4.0,0.0,0.0
MMMCS100,16.0,0.0,0.0
MMMCS100       ,36.0,0.0,0.0
MMMC60-ST      ,380.0,0.0,0.0
MMMC61-BK      ,10.0,0.0,0.0
ZPC23120       ,12.0,0.0,0.0
ZPC25410       ,3.0,0.0,0.0
AAG7034505     ,1.0,0.0,0.0
MFECK240       ,9.0,0.0,0.0
MFEPD122       ,1.0,0.0,0.0
MMMDH640       ,1.0,0.0,0.0
MMMDS2033      ,1.0,0.0,0.0
MMMFR330       ,5.0,0.0,0.0
MMMKD50BE      ,11.0,0.0,0.0
MMMKD95        ,6.0,0.0,0.0
MEVMSF-5       ,6.0,0.0,0.0
MMMMS201MX     ,6.0,0.0,0.0
MER9           ,6.0,0.0,0.0
MEVMDV-1BA     ,1.0,0.0,0.0
MMMLS854-2,1.0,0.0,0.0
MEI01288,2.0,0.0,0.0
MMMMS101       ,115.0,0.0,0.0
AAG76-03-05    ,18.0,0.0,0.0
AAG76-950-05   ,64.0,0.0,0.0
AAG77-060-05   ,13.0,0.0,0.0
AAG77-075-05   ,4.0,0.0,0.0
AAG77-120-05   ,1.0,0.0,0.0
MMMPF150       ,1.0,0.0,0.0
